date,product_type,region,daily_demand,warehouse_stock,lead_time_days,reorder_point,recommended_reorder_qty
2024-01-01,solar_panel,West,294,1330,10,441,0
2024-01-01,solar_panel,Central,305,666,9,457,0
2024-01-01,solar_panel,South,305,969,10,457,0
2024-01-01,solar_panel,Northeast,319,1415,14,478,0
2024-01-01,solar_roof,West,43,221,14,64,0
2024-01-01,solar_roof,Central,48,899,5,72,0
2024-01-01,solar_roof,South,49,846,7,73,0
2024-01-01,solar_roof,Northeast,49,800,14,73,0
2024-01-01,megapack,West,11,764,4,16,0
2024-01-01,megapack,Central,12,708,10,18,0
2024-01-01,megapack,South,7,1225,8,10,0
2024-01-01,megapack,Northeast,7,902,4,10,0
2024-01-01,powerwall,West,115,1015,10,172,0
2024-01-01,powerwall,Central,102,495,7,153,0
2024-01-01,powerwall,South,97,1276,10,145,0
2024-01-01,powerwall,Northeast,96,579,11,144,0
2024-01-02,solar_panel,West,289,720,10,433,0
2024-01-02,solar_panel,Central,295,1286,13,442,0
2024-01-02,solar_panel,South,283,618,3,424,0
2024-01-02,solar_panel,Northeast,305,1217,11,457,0
2024-01-02,solar_roof,West,49,702,9,73,0
2024-01-02,solar_roof,Central,54,883,10,81,0
2024-01-02,solar_roof,South,45,812,5,67,0
2024-01-02,solar_roof,Northeast,56,966,9,84,0
2024-01-02,megapack,West,5,1063,9,7,0
2024-01-02,megapack,Central,10,684,9,15,0
2024-01-02,megapack,South,11,740,6,16,0
2024-01-02,megapack,Northeast,16,1466,8,24,0
2024-01-02,powerwall,West,114,1212,8,171,0
2024-01-02,powerwall,Central,99,1454,3,148,0
2024-01-02,powerwall,South,93,832,6,139,0
2024-01-02,powerwall,Northeast,96,909,10,144,0
2024-01-03,solar_panel,West,302,1448,5,453,0
2024-01-03,solar_panel,Central,288,1456,6,432,0
2024-01-03,solar_panel,South,293,763,14,439,0
2024-01-03,solar_panel,Northeast,287,1336,7,430,0
2024-01-03,solar_roof,West,45,312,4,67,0
2024-01-03,solar_roof,Central,50,1448,3,75,0
2024-01-03,solar_roof,South,44,929,8,66,0
2024-01-03,solar_roof,Northeast,44,402,10,66,0
2024-01-03,megapack,West,7,479,7,10,0
2024-01-03,megapack,Central,11,951,3,16,0
2024-01-03,megapack,South,6,663,5,9,0
2024-01-03,megapack,Northeast,11,602,12,16,0
2024-01-03,powerwall,West,100,1063,9,150,0
2024-01-03,powerwall,Central,89,750,4,133,0
2024-01-03,powerwall,South,111,672,4,166,0
2024-01-03,powerwall,Northeast,118,462,14,177,0
2024-01-04,solar_panel,West,301,1096,14,451,0
2024-01-04,solar_panel,Central,303,1214,11,454,0
2024-01-04,solar_panel,South,288,407,5,432,25
2024-01-04,solar_panel,Northeast,321,827,13,481,0
2024-01-04,solar_roof,West,64,303,6,96,0
2024-01-04,solar_roof,Central,52,298,11,78,0
2024-01-04,solar_roof,South,51,1156,11,76,0
2024-01-04,solar_roof,Northeast,42,597,7,63,0
2024-01-04,megapack,West,6,1358,5,9,0
2024-01-04,megapack,Central,11,659,13,16,0
2024-01-04,megapack,South,9,949,8,13,0
2024-01-04,megapack,Northeast,15,997,3,22,0
2024-01-04,powerwall,West,102,652,14,153,0
2024-01-04,powerwall,Central,107,746,3,160,0
2024-01-04,powerwall,South,99,717,5,148,0
2024-01-04,powerwall,Northeast,95,806,5,142,0
2024-01-05,solar_panel,West,290,1384,5,435,0
2024-01-05,solar_panel,Central,281,765,12,421,0
2024-01-05,solar_panel,South,332,825,8,498,0
2024-01-05,solar_panel,Northeast,293,689,4,439,0
2024-01-05,solar_roof,West,46,445,9,69,0
2024-01-05,solar_roof,Central,45,1120,10,67,0
2024-01-05,solar_roof,South,62,235,6,93,0
2024-01-05,solar_roof,Northeast,53,599,14,79,0
2024-01-05,megapack,West,14,1033,9,21,0
2024-01-05,megapack,Central,12,774,8,18,0
2024-01-05,megapack,South,11,881,8,16,0
2024-01-05,megapack,Northeast,8,812,3,12,0
2024-01-05,powerwall,West,111,204,9,166,0
2024-01-05,powerwall,Central,83,1083,5,124,0
2024-01-05,powerwall,South,104,468,4,156,0
2024-01-05,powerwall,Northeast,100,856,10,150,0
2024-01-06,solar_panel,West,288,940,12,432,0
2024-01-06,solar_panel,Central,310,1281,12,465,0
2024-01-06,solar_panel,South,280,1341,11,420,0
2024-01-06,solar_panel,Northeast,308,1495,9,462,0
2024-01-06,solar_roof,West,53,1060,9,79,0
2024-01-06,solar_roof,Central,34,1196,8,51,0
2024-01-06,solar_roof,South,33,1157,6,49,0
2024-01-06,solar_roof,Northeast,42,673,7,63,0
2024-01-06,megapack,West,10,556,9,15,0
2024-01-06,megapack,Central,14,961,5,21,0
2024-01-06,megapack,South,10,715,10,15,0
2024-01-06,megapack,Northeast,16,1095,13,24,0
2024-01-06,powerwall,West,110,579,3,165,0
2024-01-06,powerwall,Central,99,1491,5,148,0
2024-01-06,powerwall,South,110,1266,14,165,0
2024-01-06,powerwall,Northeast,93,1476,5,139,0
2024-01-07,solar_panel,West,306,289,10,459,170
2024-01-07,solar_panel,Central,294,1221,4,441,0
2024-01-07,solar_panel,South,287,1025,7,430,0
